Date,Route Index,Store Order
0412,1,瑞芳ＤＣ
0412,1,松創店
0412,1,逸鑫店
0412,1,台北１０１店
0412,1,建鑫店
0412,1,松仁店
0412,1,新安興店
0412,1,祥和店
0412,1,挹翠店
0412,1,盛興店
0412,1,莊敬店
0412,1,北醫店
0412,1,莊新店
0412,1,富興店
0412,1,景聯店
0412,1,三興店
0412,1,復昌店
0412,1,新信德店
0412,1,松友店
0412,1,松永店
0412,2,萬芳店
0412,2,興園店
0412,2,仙岩店
0412,2,靜興店
0412,2,華德店
0412,2,新文華店
0412,2,羅和店
0412,2,萬和店
0412,2,師美店
0412,2,景富店
0412,2,萬慶店
0412,2,深坑北福店
0412,2,深坑北深店
0412,2,深坑金典店
0412,2,深坑埔新店
0412,2,深坑昇高店
0412,2,深坑紅葉店
0412,2,石碇國道店
0412,2,坪林順益店
0412,2,石碇雙溪店
0412,2,平溪平安店
0412,2,平溪十分店
0412,2,瑞芳ＤＣ
