Date,Route Index,Store Order
0407,1,瑞芳ＤＣ
0407,1,永隆店
0407,1,新貿店
0407,1,和信店
0407,1,敦安店
0407,1,光復南路店
0407,1,光新店
0407,1,國父紀念館店
0407,1,忠孝光復店
0407,1,吉泰店
0407,1,國泰店
0407,1,義和店
0407,1,忠信店
0407,1,大道店
0407,1,新中坡店
0407,1,協和店
0407,1,厚雅店
0407,1,新忠隆店
0407,1,聯合店
0407,2,建南店
0407,2,濟南二店
0407,2,新北科店
0407,2,北科店
0407,2,昌隆店
0407,2,懷生店
0407,2,興忠店
0407,2,興仁店
0407,2,正興店
0407,2,金信店
0407,2,新生南路店
0407,2,大森店
0407,2,信美店
0407,2,興南店
0407,2,義興店
0407,2,復豪店
0407,2,復豐店
0407,2,建國店
0407,2,瑞和店
0407,2,興和店
0407,2,義安店
0407,2,敦鼎店
0407,2,安賢店
0407,2,樂和店
0407,2,新遠企店
0407,2,東方店
0407,2,通昌店
0407,2,瑞芳ＤＣ
