Date,Route Index,Store Order
0313,1,瑞芳ＤＣ
0313,1,新遠雄二店
0313,1,汐止新遠雄店
0313,1,汐止東科店
0313,1,汐止連新店
0313,1,汐止莊敬店
0313,1,汐止桂冠店
0313,1,汐止興莊店
0313,1,汐止青山店
0313,1,汐止福全店
0313,1,汐止站前店
0313,1,汐止新忠孝店
0313,1,汐止秀峰店
0313,1,汐止橋東店
0313,1,汐止新興店
0313,1,汐止興龍店
0313,1,汐止龍安店
0313,1,汐止興萬店
0313,1,汐止祥雲店
0313,1,汐止伯爵店
0313,1,汐止日月光店
0313,1,汐止湖前店
0313,1,汐止東城店
0313,1,汐止新水蓮店
0313,1,汐止鑫峰店
0313,1,汐止金龍店
0313,2,辛亥店
0313,2,和東店
0313,2,和復店
0313,2,和新店
0313,2,泰順店
0313,2,和茂店
0313,2,台興店
0313,2,台科店
0313,2,台大二活店
0313,2,台一宿舍店
0313,2,台福店
0313,2,台大楓林店
0313,2,羅騰店
0313,2,台新店
0313,2,師大店
0313,2,台師店
0313,2,古亭店
0313,2,羅中店
0313,2,潮州店
0313,2,瑞芳ＤＣ
